time,open,high,low,close,volume,trade
2018-09-02,295.80000000,299.33000000,288.87000000,295.41000000,153300.06112000,71133.02958000
2018-09-03,295.51000000,296.62000000,285.99000000,289.09000000,274753.70062000,152262.97792000
2018-09-04,289.09000000,292.64000000,283.00000000,285.30000000,330102.19000000,193173.09686000
2018-09-05,285.18000000,287.62000000,227.00000000,228.53000000,528734.31960000,286451.21575000
2018-09-06,228.28000000,233.19000000,212.00000000,229.70000000,552996.86567000,297294.35122000
2018-09-07,229.73000000,234.69000000,213.50000000,215.22000000,398379.81741000,220763.87778000
2018-09-08,215.19000000,220.20000000,190.01000000,196.71000000,318859.84904000,151369.34224000
2018-09-09,196.87000000,208.60000000,185.02000000,195.81000000,429255.02592000,222485.70012000
2018-09-10,196.13000000,203.42000000,187.10000000,197.15000000,418489.86663000,231386.57310000
2018-09-11,197.22000000,200.20000000,176.16000000,185.18000000,476745.79216000,251458.10305000
2018-09-12,185.14000000,185.22000000,167.32000000,183.12000000,504047.79165000,235314.87315000
2018-09-13,183.17000000,215.00000000,183.15000000,210.68000000,739503.34051000,389380.40825000
2018-09-14,210.91000000,224.20000000,202.60000000,208.82000000,833945.82573000,431817.33588000
2018-09-15,208.55000000,227.42000000,207.64000000,221.29000000,441046.52933000,227148.73590000
2018-09-16,221.62000000,223.50000000,208.10000000,220.17000000,425538.57709000,219213.18560000
2018-09-17,220.24000000,225.00000000,192.40000000,196.16000000,825020.77445000,407677.72108000
2018-09-18,196.25000000,215.47000000,193.47000000,208.17000000,584366.15014000,324327.01972000
2018-09-19,208.42000000,214.84000000,197.58000000,209.79000000,496100.46639000,245353.13395000
2018-09-20,209.79000000,226.68000000,205.56000000,224.00000000,573632.24236000,315415.04964000
2018-09-21,224.00000000,252.11000000,220.66000000,247.73000000,841029.12948000,430108.24564000
2018-09-22,247.67000000,255.13000000,232.70000000,241.01000000,423740.74030000,211238.15259000
2018-09-23,241.01000000,249.73000000,237.00000000,244.50000000,235214.14917000,108787.74422000
2018-09-24,244.54000000,246.20000000,225.30000000,228.06000000,350139.15050000,164879.83597000
2018-09-25,228.06000000,228.10000000,203.61000000,219.62000000,710650.70970000,390268.09596000
2018-09-26,219.50000000,223.60000000,207.50000000,214.42000000,613754.27743000,339911.10483000
2018-09-27,214.38000000,234.00000000,205.01000000,229.13000000,582274.44087000,317608.07827000
2018-09-28,229.10000000,234.42000000,215.53000000,221.84000000,618434.62488000,330847.15286000
2018-09-29,221.89000000,237.77000000,214.18000000,231.62000000,604000.95586000,337563.48201000
2018-09-30,231.62000000,239.00000000,226.50000000,232.94000000,432195.44084000,235766.76855000
